name,code,rgb,detail_url,brand_descr,lrv,collection,recommendations
Shorewood,1151,"rgb(224, 195, 173)",https://www.benjaminmoore.com/en-us/paint-colors/color/1151/shorewood,"On the lighter side of mid-tone, this warm hue enlivens a space with a hint of rosy brown.",56.15,Benjamin Moore Classics® Color Collection,
Nature's Symphony,1152,"rgb(217, 188, 165)",https://www.benjaminmoore.com/en-us/paint-colors/color/1152/natures-symphony,"Orange, pink, and brown come together in perfect harmony in this easygoing mid-tone.",51.61,Benjamin Moore Classics® Color Collection,
Dearborn Tan,1153,"rgb(205, 166, 136)",https://www.benjaminmoore.com/en-us/paint-colors/color/1153/dearborn-tan,A healthy glow emanates from this muted ginger hue.,41.5,Benjamin Moore Classics® Color Collection,
Mountain Hideaway,1154,"rgb(196, 150, 118)",https://www.benjaminmoore.com/en-us/paint-colors/color/1154/mountain-hideaway,Brown meets orange in this laid-back hue that turns any home into a sanctuary.,34.81,Benjamin Moore Classics® Color Collection,
Cappuccino Muffin,1155,"rgb(168, 120, 87)",https://www.benjaminmoore.com/en-us/paint-colors/color/1155/cappuccino-muffin,A hint of orange energizes this saturated yet cozy hue.,22.84,Benjamin Moore Classics® Color Collection,
Puppy Paws,1156,"rgb(240, 226, 210)",https://www.benjaminmoore.com/en-us/paint-colors/color/1156/puppy-paws,Dusty peach undertones define this delicate off-white.,75.08,Benjamin Moore Classics® Color Collection,
Dusty Trail,1157,"rgb(232, 215, 198)",https://www.benjaminmoore.com/en-us/paint-colors/color/1157/dusty-trail,A dusty peach-pink with nostalgic charm.,68.79,Benjamin Moore Classics® Color Collection,
Basking Ridge Beige,1158,"rgb(224, 200, 182)",https://www.benjaminmoore.com/en-us/paint-colors/color/1158/basking-ridge-beige,Hints of pink and orange infuse this versatile hue.,59.18,Benjamin Moore Classics® Color Collection,
Deer Field,1159,"rgb(208, 177, 155)",https://www.benjaminmoore.com/en-us/paint-colors/color/1159/deer-field,"A delicate fusion of pink, orange, and beige gives this mid-tone hue calming appeal.",46.54,Benjamin Moore Classics® Color Collection,
Crestwood Tan,116,"rgb(240, 201, 161)",https://www.benjaminmoore.com/en-us/paint-colors/color/116/crestwood-tan,An extra hit of orange sweetens this peach hue.,60.69,Benjamin Moore Classics® Color Collection,
Chadwick Brown,1160,"rgb(181, 144, 119)",https://www.benjaminmoore.com/en-us/paint-colors/color/1160/chadwick-brown,"A balanced mid-tone with subtle hints of red, orange, and brown.",31.3,Benjamin Moore Classics® Color Collection,
Birchwood,1161,"rgb(164, 123, 100)",https://www.benjaminmoore.com/en-us/paint-colors/color/1161/birchwood,Warm and cozy notes define this versatile mid-tone.,23.17,Benjamin Moore Classics® Color Collection,
Wooded Vista,1162,"rgb(153, 116, 93)",https://www.benjaminmoore.com/en-us/paint-colors/color/1162/wooded-vista,Bring the outside in with this woodsy shade of brown.,20.5,Benjamin Moore Classics® Color Collection,
Tissue Pink,1163,"rgb(237, 219, 205)",https://www.benjaminmoore.com/en-us/paint-colors/color/1163/tissue-pink,A graceful blush with a flattering glow.,71.16,Benjamin Moore Classics® Color Collection,
Coastal Cottage,1164,"rgb(231, 209, 194)",https://www.benjaminmoore.com/en-us/paint-colors/color/1164/coastal-cottage,"The color of soft sand, this tender hue features a slight touch of pink.",65.65,Benjamin Moore Classics® Color Collection,
Milk Shake,1165,"rgb(220, 192, 175)",https://www.benjaminmoore.com/en-us/paint-colors/color/1165/milk-shake,Touches of pink and orange bring warmth to this enticing hue.,55.57,Benjamin Moore Classics® Color Collection,
Groundhog Day,1166,"rgb(216, 186, 165)",https://www.benjaminmoore.com/en-us/paint-colors/color/1166/groundhog-day,Soothing notes of orange and rosy brown mingle to create this laid-back hue.,50.59,Benjamin Moore Classics® Color Collection,
Fox Hedge Tan,1167,"rgb(196, 162, 137)",https://www.benjaminmoore.com/en-us/paint-colors/color/1167/fox-hedge-tan,"Soft and sophisticated, this tawny hue has hints of orange and rosy brown.",38.98,Benjamin Moore Classics® Color Collection,
Wilderness Cabin,1168,"rgb(189, 145, 116)",https://www.benjaminmoore.com/en-us/paint-colors/color/1168/wilderness-cabin,Strong notes of orange and brown define this mid-tone hue.,32.37,Benjamin Moore Classics® Color Collection,
Antique Copper,1169,"rgb(156, 112, 89)",https://www.benjaminmoore.com/en-us/paint-colors/color/1169/antique-copper,"A deep, sophisticated shade of orange with a warm brown undertone.",20.22,Benjamin Moore Classics® Color Collection,
Persian Melon,117,"rgb(230, 183, 137)",https://www.benjaminmoore.com/en-us/paint-colors/color/117/persian-melon,An eye-pleasing orange with a soft and comforting quality.,50.97,Benjamin Moore Classics® Color Collection,
Beautiful in My Eyes,1170,"rgb(240, 226, 212)",https://www.benjaminmoore.com/en-us/paint-colors/color/1170/beautiful-in-my-eyes,"A peachy beige, this warm hue evokes a beautiful glow.",75.76,Benjamin Moore Classics® Color Collection,
Bashful,1171,"rgb(235, 218, 204)",https://www.benjaminmoore.com/en-us/paint-colors/color/1171/bashful,"A soft, welcoming hue with a touch of pink.",70.8,Benjamin Moore Classics® Color Collection,
Pink Beach,1172,"rgb(226, 200, 186)",https://www.benjaminmoore.com/en-us/paint-colors/color/1172/pink-beach,A touch of beige lends versatility to this classic pink.,59.46,Benjamin Moore Classics® Color Collection,
Southern Charm,1173,"rgb(214, 179, 163)",https://www.benjaminmoore.com/en-us/paint-colors/color/1173/southern-charm,A pure rosy hue that exudes vintage romance.,48.67,Benjamin Moore Classics® Color Collection,
Vintage,1174,"rgb(208, 174, 159)",https://www.benjaminmoore.com/en-us/paint-colors/color/1174/vintage,A powdery rose hue that imparts a playful sophistication.,46.07,Benjamin Moore Classics® Color Collection,
Lake House,1175,"rgb(188, 145, 127)",https://www.benjaminmoore.com/en-us/paint-colors/color/1175/lake-house,"Gentle notes of red, orange, and brown define this clay-baked hue.",32.61,Benjamin Moore Classics® Color Collection,
Mountain Retreat,1176,"rgb(156, 114, 95)",https://www.benjaminmoore.com/en-us/paint-colors/color/1176/mountain-retreat,Sink into the warmth of this cozy cottage hue.,20.65,Benjamin Moore Classics® Color Collection,
Rose Accent,1177,"rgb(230, 207, 197)",https://www.benjaminmoore.com/en-us/paint-colors/color/1177/rose-accent,A touch of pink causes this lovely beige to blush.,63.37,Benjamin Moore Classics® Color Collection,
Pale Petal,1178,"rgb(224, 196, 184)",https://www.benjaminmoore.com/en-us/paint-colors/color/1178/pale-petal,This soft red blooms with a pleasing pink hue.,57.42,Benjamin Moore Classics® Color Collection,
Soul Mate,1179,"rgb(207, 174, 160)",https://www.benjaminmoore.com/en-us/paint-colors/color/1179/soul-mate,"An earthy red, this color is softened to a gentle pink hue.",44.57,Benjamin Moore Classics® Color Collection,
Grand Canyon,118,"rgb(221, 157, 101)",https://www.benjaminmoore.com/en-us/paint-colors/color/118/grand-canyon,A radiant shade of orange that lifts a space.,38.51,Benjamin Moore Classics® Color Collection,
Rosedale,1180,"rgb(191, 151, 137)",https://www.benjaminmoore.com/en-us/paint-colors/color/1180/rosedale,An infusion of red brings warmth to this brown hue.,35.17,Benjamin Moore Classics® Color Collection,
Foxy Brown,1181,"rgb(185, 141, 125)",https://www.benjaminmoore.com/en-us/paint-colors/color/1181/foxy-brown,A soft clay hue that strikes a balance between red and brown.,31.32,Benjamin Moore Classics® Color Collection,
Drenched Sienna,1182,"rgb(166, 119, 104)",https://www.benjaminmoore.com/en-us/paint-colors/color/1182/drenched-sienna,Rich red undertones breathe warmth into this earthen hue.,22.56,Benjamin Moore Classics® Color Collection,
Brindle,1183,"rgb(141, 93, 80)",https://www.benjaminmoore.com/en-us/paint-colors/color/1183/brindle,This red-based brown exudes warmth and presence.,15.07,Benjamin Moore Classics® Color Collection,
Pensacola Pink,1184,"rgb(242, 227, 215)",https://www.benjaminmoore.com/en-us/paint-colors/color/1184/pensacola-pink,Peach and blush come together in this warm and inviting hue.,77.14,Benjamin Moore Classics® Color Collection,
Sugarcane,1185,"rgb(240, 219, 210)",https://www.benjaminmoore.com/en-us/paint-colors/color/1185/sugarcane,Subtle notes of peach sweeten this refreshing light pink.,72.55,Benjamin Moore Classics® Color Collection,
Rosetone,1186,"rgb(229, 200, 191)",https://www.benjaminmoore.com/en-us/paint-colors/color/1186/rosetone,A mid-toned pink that is both earthen and elegant.,60.09,Benjamin Moore Classics® Color Collection,
Ciao Bella,1187,"rgb(217, 179, 166)",https://www.benjaminmoore.com/en-us/paint-colors/color/1187/ciao-bella,The warm pink cast of this color is reminiscent of unglazed pottery.,48.36,Benjamin Moore Classics® Color Collection,
Palmetto Pink,1188,"rgb(202, 156, 142)",https://www.benjaminmoore.com/en-us/paint-colors/color/1188/palmetto-pink,This dusky pink features a balanced undertone with a generous dose of red.,38.21,Benjamin Moore Classics® Color Collection,
Santa Rosa,1189,"rgb(187, 136, 119)",https://www.benjaminmoore.com/en-us/paint-colors/color/1189/santa-rosa,Subtle notes of pink bring an earthen quality to this mid-toned hue.,29.79,Benjamin Moore Classics® Color Collection,
Cornucopia Tan,119,"rgb(208, 134, 78)",https://www.benjaminmoore.com/en-us/paint-colors/color/119/cornucopia-tan,"A rich, spicy orange that instantly stirs up thoughts of cozy autumn days.",29.92,Benjamin Moore Classics® Color Collection,
California Redwood,1190,"rgb(152, 89, 73)",https://www.benjaminmoore.com/en-us/paint-colors/color/1190/california-redwood,A rustic blend of red and orange.,15.46,Benjamin Moore Classics® Color Collection,
Love & Happiness,1191,"rgb(242, 217, 204)",https://www.benjaminmoore.com/en-us/paint-colors/color/1191/love-happiness,"This warm, peachy pink exudes effortless sophistication.",71.95,Benjamin Moore Classics® Color Collection,
Sweet Romance,1192,"rgb(232, 197, 184)",https://www.benjaminmoore.com/en-us/paint-colors/color/1192/sweet-romance,"This soft, rosy pink delivers a flattering glow.",59.45,Benjamin Moore Classics® Color Collection,
Palazzo Pink,1193,"rgb(210, 160, 142)",https://www.benjaminmoore.com/en-us/paint-colors/color/1193/palazzo-pink,Hints of beige give this softened hue a beautiful blush.,40.78,Benjamin Moore Classics® Color Collection,
Mexican Tile,1194,"rgb(193, 136, 114)",https://www.benjaminmoore.com/en-us/paint-colors/color/1194/mexican-tile,A deep terra-cotta hue dusted with a hint of brown.,30.31,Benjamin Moore Classics® Color Collection,
Patina,1195,"rgb(182, 120, 97)",https://www.benjaminmoore.com/en-us/paint-colors/color/1195/patina,An inviting clay orange with soft notes of brown.,24.53,Benjamin Moore Classics® Color Collection,
Burnt Sienna,1196,"rgb(158, 98, 77)",https://www.benjaminmoore.com/en-us/paint-colors/color/1196/burnt-sienna,"A warm rust-colored hue with notes of red, orange, and brown.",17.37,Benjamin Moore Classics® Color Collection,
Pumice Stone,1197,"rgb(144, 91, 71)",https://www.benjaminmoore.com/en-us/paint-colors/color/1197/pumice-stone,"A rich, warm terra-cotta with just the right amount of depth.",14.94,Benjamin Moore Classics® Color Collection,
Antique Coral,1198,"rgb(242, 200, 181)",https://www.benjaminmoore.com/en-us/paint-colors/color/1198/antique-coral,A soft orange illuminated by a warm pink undertone.,61.76,Benjamin Moore Classics® Color Collection,
Peach Mousse,1199,"rgb(228, 181, 166)",https://www.benjaminmoore.com/en-us/paint-colors/color/1199/peach-mousse,This sunbaked hue is a lighter mid-tone with notes of pink.,51.31,Benjamin Moore Classics® Color Collection,
Delicate Peach,120,"rgb(250, 224, 193)",https://www.benjaminmoore.com/en-us/paint-colors/color/120/delicate-peach,A faint hint of orange comes through in this ultra-pale hue.,74.88,Benjamin Moore Classics® Color Collection,
Mesa Peach,1200,"rgb(212, 155, 138)",https://www.benjaminmoore.com/en-us/paint-colors/color/1200/mesa-peach,A warm pale red reminiscent of sunset hues.,38.92,Benjamin Moore Classics® Color Collection,
Spiced Apple Cider,1201,"rgb(193, 121, 106)",https://www.benjaminmoore.com/en-us/paint-colors/color/1201/spiced-apple-cider,A spiced red enriched with warmth.,26.56,Benjamin Moore Classics® Color Collection,
Baked Terra Cotta,1202,"rgb(179, 105, 87)",https://www.benjaminmoore.com/en-us/paint-colors/color/1202/baked-terra-cotta,Orange and brown undertones lend a grounding quality to this terra-cotta hue.,20.93,Benjamin Moore Classics® Color Collection,
Warm Sienna,1203,"rgb(165, 89, 78)",https://www.benjaminmoore.com/en-us/paint-colors/color/1203/warm-sienna,"Infused with earthy orange and brown undertones, this nuanced red falls on the more muted side.",16.81,Benjamin Moore Classics® Color Collection,
Onondaga Clay,1204,"rgb(142, 80, 73)",https://www.benjaminmoore.com/en-us/paint-colors/color/1204/onondaga-clay,Dusty orange and brown undertones mellow out this elegant rouge.,13.23,Benjamin Moore Classics® Color Collection,
Apricot Beige,1205,"rgb(226, 193, 171)",https://www.benjaminmoore.com/en-us/paint-colors/color/1205/apricot-beige,Brown and beige soften this apricot hue.,54.94,Benjamin Moore Classics® Color Collection,
Outer Banks,1206,"rgb(220, 183, 159)",https://www.benjaminmoore.com/en-us/paint-colors/color/1206/outer-banks,"A warm, blushed hue reminiscent of a sandy beach.",50.79,Benjamin Moore Classics® Color Collection,
San Carlos Tan,1207,"rgb(207, 166, 141)",https://www.benjaminmoore.com/en-us/paint-colors/color/1207/san-carlos-tan,A subtle orange with a sun-kissed blush.,41.81,Benjamin Moore Classics® Color Collection,
Tuscany,1208,"rgb(188, 139, 110)",https://www.benjaminmoore.com/en-us/paint-colors/color/1208/tuscany,"With its muted mix of brown, orange and rose tones, this unique hue offers surprising versatility.",29.43,Benjamin Moore Classics® Color Collection,
Toasted Pecan,1209,"rgb(162, 110, 87)",https://www.benjaminmoore.com/en-us/paint-colors/color/1209/toasted-pecan,"An earthy, clay-baked shade of orange.",19.87,Benjamin Moore Classics® Color Collection,
Sweet Melon,121,"rgb(251, 216, 174)",https://www.benjaminmoore.com/en-us/paint-colors/color/121/sweet-melon,"Light yet vibrant, this shade of cantaloupe brings a playful exuberance to any room.",69.25,Benjamin Moore Classics® Color Collection,
Ten Gallon Hat,1210,"rgb(155, 103, 82)",https://www.benjaminmoore.com/en-us/paint-colors/color/1210/ten-gallon-hat,A rich orange-brown as deep as tanned suede.,18.17,Benjamin Moore Classics® Color Collection,
Arizona Canyon,1211,"rgb(135, 94, 76)",https://www.benjaminmoore.com/en-us/paint-colors/color/1211/arizona-canyon,"With its earthy clay undertones, this color is reminiscent of sunbaked desert stones.",13.35,Benjamin Moore Classics® Color Collection,
Sunset Hill,1212,"rgb(246, 228, 214)",https://www.benjaminmoore.com/en-us/paint-colors/color/1212/sunset-hill,A lustrous fusion of peach and orange.,77.79,Benjamin Moore Classics® Color Collection,
Love Story,1213,"rgb(241, 217, 198)",https://www.benjaminmoore.com/en-us/paint-colors/color/1213/love-story,A pale peach with an understated elegance.,70.51,Benjamin Moore Classics® Color Collection,
Careless Whispers,1214,"rgb(232, 198, 176)",https://www.benjaminmoore.com/en-us/paint-colors/color/1214/careless-whispers,A gentle orange warmed by a touch of beige.,58.72,Benjamin Moore Classics® Color Collection,
Cinnamon 'n Spice,1215,"rgb(222, 181, 157)",https://www.benjaminmoore.com/en-us/paint-colors/color/1215/cinnamon-n-spice,This mid-tone offers a delicate balance between blush and orange.,50.51,Benjamin Moore Classics® Color Collection,
Baker's Dozen,1216,"rgb(206, 156, 126)",https://www.benjaminmoore.com/en-us/paint-colors/color/1216/bakers-dozen,"A warmed orange, reminiscent of a baker's basket.",38.24,Benjamin Moore Classics® Color Collection,
Suntan Bronze,1217,"rgb(182, 125, 94)",https://www.benjaminmoore.com/en-us/paint-colors/color/1217/suntan-bronze,A rich bronze made warm by its orange roots.,25.52,Benjamin Moore Classics® Color Collection,
Copper Kettle,1218,"rgb(156, 102, 75)",https://www.benjaminmoore.com/en-us/paint-colors/color/1218/copper-kettle,A touch of brown brings rustic warmth to this mid-tone orange.,16.41,Benjamin Moore Classics® Color Collection,
Clementine Rose,1219,"rgb(218, 184, 161)",https://www.benjaminmoore.com/en-us/paint-colors/color/1219/clementine-rose,"A soft, graceful terracotta-orange.",50.52,Benjamin Moore Classics® Color Collection,
Orange Sherbet,122,"rgb(254, 209, 165)",https://www.benjaminmoore.com/en-us/paint-colors/color/122/orange-sherbet,"Crisp and radiant, this light orange almost seems to glow.",66.29,Benjamin Moore Classics® Color Collection,
Grazing Fawn,1220,"rgb(202, 162, 134)",https://www.benjaminmoore.com/en-us/paint-colors/color/1220/grazing-fawn,"A gentle, clay-baked hue with orange and beige undertones.",39.56,Benjamin Moore Classics® Color Collection,
Potters Clay,1221,"rgb(185, 135, 102)",https://www.benjaminmoore.com/en-us/paint-colors/color/1221/potters-clay,"Sunbaked and radiant, this terracotta orange brings warmth to any space.",28.25,Benjamin Moore Classics® Color Collection,
Lenape Trail,1222,"rgb(177, 125, 96)",https://www.benjaminmoore.com/en-us/paint-colors/color/1222/lenape-trail,Notes of brown bring an organic warmth to this mid-toned orange.,25.24,Benjamin Moore Classics® Color Collection,
Brentwood,1223,"rgb(160, 114, 89)",https://www.benjaminmoore.com/en-us/paint-colors/color/1223/brentwood,"The color of sunbaked bark with hints of orange and brown, bring life to this woody hue.",20.74,Benjamin Moore Classics® Color Collection,
Coyote Trail,1224,"rgb(142, 101, 82)",https://www.benjaminmoore.com/en-us/paint-colors/color/1224/coyote-trail,An organic orange hue deepened by hints of brown.,16.71,Benjamin Moore Classics® Color Collection,
Abbey Brown,1225,"rgb(130, 90, 73)",https://www.benjaminmoore.com/en-us/paint-colors/color/1225/abbey-brown,Notes of orange and brown enliven this earthy shade.,12.3,Benjamin Moore Classics® Color Collection,
Crossroads,1226,"rgb(216, 189, 173)",https://www.benjaminmoore.com/en-us/paint-colors/color/1226/crossroads,"A cozy blend of orange, pink, and beige.",54,Benjamin Moore Classics® Color Collection,
Nutmeg,1227,"rgb(195, 157, 135)",https://www.benjaminmoore.com/en-us/paint-colors/color/1227/nutmeg,"Subtle hints of orange, red, and brown season this inviting hue.",37.01,Benjamin Moore Classics® Color Collection,
Roman Shade,1228,"rgb(183, 140, 117)",https://www.benjaminmoore.com/en-us/paint-colors/color/1228/roman-shade,Organic notes of orange and rosy brown give this hue a cozy feel.,29.95,Benjamin Moore Classics® Color Collection,
Fox Run,1229,"rgb(167, 121, 100)",https://www.benjaminmoore.com/en-us/paint-colors/color/1229/fox-run,"A rustic fusion of orange, red, and brown.",22.75,Benjamin Moore Classics® Color Collection,
Citrus Blossom,123,"rgb(244, 192, 139)",https://www.benjaminmoore.com/en-us/paint-colors/color/123/citrus-blossom,A unique melon orange that balances sweetness and sophistication.,56.61,Benjamin Moore Classics® Color Collection,
Oregon Trail,1230,"rgb(134, 96, 79)",https://www.benjaminmoore.com/en-us/paint-colors/color/1230/oregon-trail,"Spiced with touches of red, orange, and brown, this hue exudes comfort with a side of decadence.",14.75,Benjamin Moore Classics® Color Collection,
Wynwood,1231,"rgb(124, 91, 78)",https://www.benjaminmoore.com/en-us/paint-colors/color/1231/wynwood,"This deep, cozy hue evokes the warmth of weathered wood.",13.24,Benjamin Moore Classics® Color Collection,
Fresh Brew,1232,"rgb(104, 79, 70)",https://www.benjaminmoore.com/en-us/paint-colors/color/1232/fresh-brew,An autumnal red-brown with timeless appeal.,9.79,Benjamin Moore Classics® Color Collection,
Cedar Ridge,1233,"rgb(205, 181, 170)",https://www.benjaminmoore.com/en-us/paint-colors/color/1233/cedar-ridge,Notes of red soften this foggy neutral.,47.82,Benjamin Moore Classics® Color Collection,
Baywood Brown,1234,"rgb(181, 152, 138)",https://www.benjaminmoore.com/en-us/paint-colors/color/1234/baywood-brown,Hints of brown and red ground this muted neutral.,34.09,Benjamin Moore Classics® Color Collection,
Fox Hollow Brown,1235,"rgb(153, 121, 104)",https://www.benjaminmoore.com/en-us/paint-colors/color/1235/fox-hollow-brown,A warm brown undertone brings a comforting air to this mid-toned neutral.,21.6,Benjamin Moore Classics® Color Collection,
Sorrel Brown,1236,"rgb(142, 110, 95)",https://www.benjaminmoore.com/en-us/paint-colors/color/1236/sorrel-brown,"A dark, rich hue with a rooted, organic nature.",18.3,Benjamin Moore Classics® Color Collection,
Raisin,1237,"rgb(114, 87, 72)",https://www.benjaminmoore.com/en-us/paint-colors/color/1237/raisin,A chocolaty hue infused with touches of orange and brown.,11.77,Benjamin Moore Classics® Color Collection,
Falcon Brown,1238,"rgb(100, 81, 69)",https://www.benjaminmoore.com/en-us/paint-colors/color/1238/falcon-brown,"A deep, dramatic hue like tree bark in a verdant forest.",9.26,Benjamin Moore Classics® Color Collection,
Rural Earth,1239,"rgb(95, 80, 71)",https://www.benjaminmoore.com/en-us/paint-colors/color/1239/rural-earth,A deep brown hue bordering on black.,9.72,Benjamin Moore Classics® Color Collection,
Orange Appeal,124,"rgb(237, 167, 104)",https://www.benjaminmoore.com/en-us/paint-colors/color/124/orange-appeal,This classic orange offers understated boldness.,43.85,Benjamin Moore Classics® Color Collection,
Wild Aster,1240,"rgb(232, 217, 212)",https://www.benjaminmoore.com/en-us/paint-colors/color/1240/wild-aster,A pale wash of gray gives this pink the versatility of a neutral.,70.47,Benjamin Moore Classics® Color Collection,
Morristown Cream,1241,"rgb(224, 206, 201)",https://www.benjaminmoore.com/en-us/paint-colors/color/1241/morristown-cream,A pale gray undertone makes this subtle pink a dynamic neutral.,62.29,Benjamin Moore Classics® Color Collection,
Sonoma Clay,1242,"rgb(207, 183, 177)",https://www.benjaminmoore.com/en-us/paint-colors/color/1242/sonoma-clay,"A soft red-violet with an intriguing, soothing quality",49.42,Benjamin Moore Classics® Color Collection,
Monet,1243,"rgb(191, 164, 160)",https://www.benjaminmoore.com/en-us/paint-colors/color/1243/monet,Hushed notes of pink and violet come together in this powdery soft hue.,39.98,Benjamin Moore Classics® Color Collection,
Barberry,1244,"rgb(165, 135, 133)",https://www.benjaminmoore.com/en-us/paint-colors/color/1244/barberry,Warm red-violet undertones bring a touch of charm to this dusty hue,27.66,Benjamin Moore Classics® Color Collection,
Sequoia,1245,"rgb(134, 105, 99)",https://www.benjaminmoore.com/en-us/paint-colors/color/1245/sequoia,Violet undertones bring rich depth to this organic red-brown.,16.8,Benjamin Moore Classics® Color Collection,
Cup o' Java,1246,"rgb(106, 84, 76)",https://www.benjaminmoore.com/en-us/paint-colors/color/1246/cup-o-java,A rich coffee-colored hue with a moody touch.,11.04,Benjamin Moore Classics® Color Collection,
Bridal Rose,1247,"rgb(234, 225, 222)",https://www.benjaminmoore.com/en-us/paint-colors/color/1247/bridal-rose,This pale pink captivates with subtle notes of gray.,74.8,Benjamin Moore Classics® Color Collection,
Organdy,1248,"rgb(223, 209, 208)",https://www.benjaminmoore.com/en-us/paint-colors/color/1248/organdy,"This softened pink is a versatile, easygoing hue, anchored by a gentle dose of violet.",64.37,Benjamin Moore Classics® Color Collection,
Homespun Charm,1249,"rgb(205, 185, 187)",https://www.benjaminmoore.com/en-us/paint-colors/color/1249/homespun-charm,This mid-tone mauve offers up vintage charm,50.27,Benjamin Moore Classics® Color Collection,
Antelope Canyon,125,"rgb(239, 163, 97)",https://www.benjaminmoore.com/en-us/paint-colors/color/125/antelope-canyon,A straightforward shade of orange that brings a burst of energy to a space.,42.81,Benjamin Moore Classics® Color Collection,
Magic Potion,1250,"rgb(189, 167, 168)",https://www.benjaminmoore.com/en-us/paint-colors/color/1250/magic-potion,This spellbinding purple borders on neutral with a soft wink of warmed red.,40.41,Benjamin Moore Classics® Color Collection,
Mulberry Wine,1251,"rgb(162, 137, 139)",https://www.benjaminmoore.com/en-us/paint-colors/color/1251/mulberry-wine,Velvety gray undertones mellow out this medium purple.,27.95,Benjamin Moore Classics® Color Collection,
Mink Violet,1252,"rgb(127, 104, 104)",https://www.benjaminmoore.com/en-us/paint-colors/color/1252/mink-violet,"Deep and beguiling, this moody violet is dusted with gray undertones.",15.92,Benjamin Moore Classics® Color Collection,
Fresco Urbain,1253,"rgb(95, 78, 75)",https://www.benjaminmoore.com/en-us/paint-colors/color/1253/fresco-urbain,"An elegant, mysterious hue floating between purple and brown.",9.27,Benjamin Moore Classics® Color Collection,
Rose Lace,1254,"rgb(225, 198, 197)",https://www.benjaminmoore.com/en-us/paint-colors/color/1254/rose-lace,A softened rosy hue with hints of pink.,58.99,Benjamin Moore Classics® Color Collection,
Pink Attraction,1255,"rgb(216, 180, 181)",https://www.benjaminmoore.com/en-us/paint-colors/color/1255/pink-attraction,"This cheerful, blossoming hue brings just the right amount of pink.",50.11,Benjamin Moore Classics® Color Collection,
Amaryllis,1256,"rgb(200, 152, 150)",https://www.benjaminmoore.com/en-us/paint-colors/color/1256/amaryllis,"With a vintage charm, this dusty blush brings understated elegance.",36.76,Benjamin Moore Classics® Color Collection,
Bourbon Street,1257,"rgb(154, 109, 107)",https://www.benjaminmoore.com/en-us/paint-colors/color/1257/bourbon-street,"A dusty shade of wine that can envelop a room with a warm, romantic glow.",19.43,Benjamin Moore Classics® Color Collection,
Fading Twilight,1258,"rgb(140, 89, 86)",https://www.benjaminmoore.com/en-us/paint-colors/color/1258/fading-twilight,Muted yet balanced undertones make this an essential red.,14.34,Benjamin Moore Classics® Color Collection,
Beaujolais,1259,"rgb(119, 77, 74)",https://www.benjaminmoore.com/en-us/paint-colors/color/1259/beaujolais,A deep red with versatile undertones that shift from an elegant purple to a comfortable brown.,11.02,Benjamin Moore Classics® Color Collection,
Pumpkin Spice,126,"rgb(215, 138, 75)",https://www.benjaminmoore.com/en-us/paint-colors/color/126/pumpkin-spice,"True to its name, this rich orange hue is spiced with notes of nutmeg and cinnamon brown.",31.59,Benjamin Moore Classics® Color Collection,
El Cajon Clay,1260,"rgb(99, 69, 67)",https://www.benjaminmoore.com/en-us/paint-colors/color/1260/el-cajon-clay,"A dark, grounded burgundy reminiscent of clay-rich soil.",8.22,Benjamin Moore Classics® Color Collection,
Paisley Pink,1261,"rgb(232, 215, 213)",https://www.benjaminmoore.com/en-us/paint-colors/color/1261/paisley-pink,"A soft, powdery pink with a flattering glow.",69.56,Benjamin Moore Classics® Color Collection,
Paris Romance,1262,"rgb(224, 202, 203)",https://www.benjaminmoore.com/en-us/paint-colors/color/1262/paris-romance,"A dusted pink with a soft, inviting vibe.",62.8,Benjamin Moore Classics® Color Collection,
Victoriana,1263,"rgb(210, 180, 179)",https://www.benjaminmoore.com/en-us/paint-colors/color/1263/victoriana,A mid-toned rouge with a gentle hint of gray and a warm glow.,48.47,Benjamin Moore Classics® Color Collection,
Mauve Mist,1264,"rgb(190, 153, 154)",https://www.benjaminmoore.com/en-us/paint-colors/color/1264/mauve-mist,A smoky mid-tone with gentle doses of pink and gray.,36.4,Benjamin Moore Classics® Color Collection,
Deep Mauve,1265,"rgb(153, 110, 111)",https://www.benjaminmoore.com/en-us/paint-colors/color/1265/deep-mauve,"Rich and romantic, this mauve gains warmth from its brown undertone.",19.88,Benjamin Moore Classics® Color Collection,
Love Affair,1266,"rgb(133, 89, 93)",https://www.benjaminmoore.com/en-us/paint-colors/color/1266/love-affair,"Warm and enveloping, this lush hue balances between red and brown.",13.77,Benjamin Moore Classics® Color Collection,
Ruby Dusk,1267,"rgb(109, 66, 67)",https://www.benjaminmoore.com/en-us/paint-colors/color/1267/ruby-dusk,Hints of brown deepen this luscious red hue.,8.61,Benjamin Moore Classics® Color Collection,
Cotton Candy,1268,"rgb(246, 223, 224)",https://www.benjaminmoore.com/en-us/paint-colors/color/1268/cotton-candy,A cheerful pastel pink with personality to spare.,77.04,Benjamin Moore Classics® Color Collection,
Unspoken Love,1269,"rgb(242, 204, 207)",https://www.benjaminmoore.com/en-us/paint-colors/color/1269/unspoken-love,"A sweet, soft pink with bubbly charm.",65.94,Benjamin Moore Classics® Color Collection,
Peach Pie,127,"rgb(248, 235, 210)",https://www.benjaminmoore.com/en-us/paint-colors/color/127/peach-pie,"A pale, delicate hue scented with a subtle whiff of peach.",81.02,Benjamin Moore Classics® Color Collection,
